Element ID;Element Name;Category;Family;Type;Level;Altura;Comprimento;Contador;Área;Área Calculada
13071;731,66 - TER;Níveis;Nível;8mm Head;N/A;;;1.0;;
19101;Default;Materiais;N/A;N/A;N/A;;;1.0;;
19102;Default Floor;Materiais;N/A;N/A;N/A;;;1.0;;
19103;Default Roof;Materiais;N/A;N/A;N/A;;;1.0;;
19104;Default Wall;Materiais;N/A;N/A;N/A;;;1.0;;
19105;Glass;Materiais;N/A;N/A;N/A;;;1.0;;
20485;Earth;Materiais;N/A;N/A;N/A;;;1.0;;
20489;Concrete, Cast-in-Place gray;Materiais;N/A;N/A;N/A;;;1.0;;
20491;Brick, Common;Materiais;N/A;N/A;N/A;;;1.0;;
20496;Metal Stud Layer;Materiais;N/A;N/A;N/A;;;1.0;;
20503;Aluminum;Materiais;N/A;N/A;N/A;;;1.0;;
20507;Plywood, Sheathing;Materiais;N/A;N/A;N/A;;;1.0;;
20510;Softwood, Lumber;Materiais;N/A;N/A;N/A;;;1.0;;
20524;Air;Materiais;N/A;N/A;N/A;;;1.0;;
20526;Air Infiltration Barrier;Materiais;N/A;N/A;N/A;;;1.0;;
20534;Glass, Clear Glazing;Materiais;N/A;N/A;N/A;;;1.0;;
23915;Phase - Temporary;Materiais;N/A;N/A;N/A;;;1.0;;
25363;Roofing, EPDM Membrane;Materiais;N/A;N/A;N/A;;;1.0;;
25364;Asphalt Shingle;Materiais;N/A;N/A;N/A;;;1.0;;
28309;Ceiling Tile 600 x 1200;Materiais;N/A;N/A;N/A;;;1.0;;
29842;Phase - New;Materiais;N/A;N/A;N/A;;;1.0;;
29886;;Curvas de nível principais;N/A;N/A;N/A;;;1.0;;
30407;;Curvas de nível principais;N/A;N/A;N/A;;;1.0;;
69280;Project Name;Informações do projeto;N/A;N/A;N/A;;;1.0;;
71267;Poche;Materiais;N/A;N/A;N/A;;;1.0;;
71836;Default Mass Floor;Materiais;N/A;N/A;N/A;;;1.0;;
75451;Gypsum Wall Board (1);Materiais;N/A;N/A;N/A;;;1.0;;
75452;Concrete Masonry Units (1);Materiais;N/A;N/A;N/A;;;1.0;;
