Element ID;X;Y;Z
2292774;0.0;0.0;-500.05
2292784;0.0;0.0;-500.05
2292794;0.0;0.0;-500.05
656666;0.0;0.0;-500.05
2292804;0.0;0.0;-500.05
2292814;0.0;0.0;-500.05
2292824;0.0;0.0;-500.05
2292834;0.0;0.0;-500.05
2292844;0.0;0.0;-500.05
2521756;-70.036;28.031;2455.659
656938;0.0;0.0;-500.05
2292854;0.0;0.0;-500.05
2521761;-84.488;7.214;2455.823
2292874;0.0;0.0;-500.05
2521762;-87.458;6.574;2455.823
2292884;0.0;0.0;-500.05
2292894;0.0;0.0;-500.05
1576064;11.03;2627.817;-212.079
2493823;26.704;126.518;130.296
3651;0.0;0.0;-164.042
2494024;9.934;14.809;2400.459
2494026;11.063;14.916;2403.74
2494121;-12.376;61.758;2400.459
2494123;-12.523;62.873;2403.74
2494448;-26.655;90.793;2400.459
1577104;-304.158;3363.284;-558.928
1577145;-325.649;1743.003;-393.61
1577182;236.057;7152.362;-589.202
2494761;-99.187;-6.271;2400.459
2495250;-36.785;84.42;2400.459
2495251;-36.785;90.015;2400.922
2495256;-36.785;89.549;2404.626
2495257;-36.785;89.083;2400.922
2495258;-36.785;88.616;2404.626
2495259;-36.785;88.15;2400.922
2495260;-36.785;87.684;2404.626
2495261;-36.785;87.218;2400.922
2495262;-36.785;86.751;2404.626
2495263;-36.785;86.285;2400.922
2495264;-36.785;85.819;2404.626
2495265;-36.785;85.353;2400.922
2495266;-36.785;84.886;2404.626
2495267;-36.785;84.42;2400.922
2495268;-36.785;83.954;2404.626
2495269;-36.785;83.487;2400.922
2495270;-36.785;83.021;2404.626
2495271;-36.785;82.555;2400.922
2495272;-36.785;82.089;2404.626
2495273;-36.785;81.622;2400.922
2495274;-36.785;81.156;2404.626
2495275;-36.785;80.69;2400.922
2495276;-36.785;80.224;2404.626
2495277;-36.785;79.757;2400.922
2495278;-36.785;79.291;2404.626
2495279;-36.785;78.825;2400.922
2495280;-36.785;84.42;2401.385
2495281;-36.785;90.015;2401.848
2495282;-36.785;89.083;2401.848
2495283;-36.785;88.15;2401.848
2495284;-36.785;87.218;2401.848
2495285;-36.785;86.285;2401.848
2495286;-36.785;85.353;2401.848
2495287;-36.785;84.42;2401.848
2495288;-36.785;83.487;2401.848
2495289;-36.785;82.555;2401.848
2495290;-36.785;81.622;2401.848
2495291;-36.785;80.69;2401.848
2495292;-36.785;79.757;2401.848
2495293;-36.785;78.825;2401.848
2495294;-36.785;84.42;2402.311
2495295;-36.785;90.015;2402.774
2495296;-36.785;89.083;2402.774
2495297;-36.785;88.15;2402.774
2495298;-36.785;87.218;2402.774
2495299;-36.785;86.285;2402.774
2495300;-36.785;85.353;2402.774
2495301;-36.785;84.42;2402.774
2495302;-36.785;83.487;2402.774
2495303;-36.785;82.555;2402.774
2495304;-36.785;81.622;2402.774
2495305;-36.785;80.69;2402.774
2495306;-36.785;79.757;2402.774
2495307;-36.785;78.825;2402.774
2495308;-36.785;84.42;2403.237
2495309;-36.785;90.015;2403.7
2495310;-36.785;89.083;2403.7
2495311;-36.785;88.15;2403.7
2495312;-36.785;87.218;2403.7
2495313;-36.785;86.285;2403.7
2495314;-36.785;85.353;2403.7
2495315;-36.785;84.42;2403.7
2495316;-36.785;83.487;2403.7
2495317;-36.785;82.555;2403.7
2495318;-36.785;81.622;2403.7
2495319;-36.785;80.69;2403.7
2495320;-36.785;79.757;2403.7
2495321;-36.785;78.825;2403.7
136219;0.0;0.0;2400.459
136222;0.0;0.0;2400.459
2495776;-36.785;84.42;2404.163
2495777;-36.785;90.015;2404.626
2495778;-36.785;89.083;2404.626
2495779;-36.785;88.15;2404.626
2495780;-36.785;87.218;2404.626
2495781;-36.785;86.285;2404.626
2495782;-36.785;85.353;2404.626
2495783;-36.785;84.42;2404.626
2495784;-36.785;83.487;2404.626
2495785;-36.785;82.555;2404.626
2495786;-36.785;81.622;2404.626
2495787;-36.785;80.69;2404.626
2495788;-36.785;79.757;2404.626
2495789;-36.785;78.825;2404.626
2495790;-36.785;84.42;2405.089
2495791;-36.785;90.015;2405.552
2495792;-36.785;89.083;2405.552
2495793;-36.785;88.15;2405.552
2495794;-36.785;87.218;2405.552
2495795;-36.785;86.285;2405.552
2495796;-36.785;85.353;2405.552
2495797;-36.785;84.42;2405.552
2495798;-36.785;83.487;2405.552
2495799;-36.785;82.555;2405.552
2495800;-36.785;81.622;2405.552
2495801;-36.785;80.69;2405.552
2495802;-36.785;79.757;2405.552
2495803;-36.785;78.825;2405.552
2495804;-36.785;84.42;2406.015
2495805;-36.785;90.015;2406.478
2495806;-36.785;89.083;2406.478
2495807;-36.785;88.15;2406.478
2495808;-36.785;87.218;2406.478
2495809;-36.785;86.285;2406.478
2495810;-36.785;85.353;2406.478
2495811;-36.785;84.42;2406.478
2495812;-36.785;83.487;2406.478
2495813;-36.785;82.555;2406.478
2495814;-36.785;81.622;2406.478
2495815;-36.785;80.69;2406.478
2495816;-36.785;79.757;2406.478
2495817;-36.785;78.825;2406.478
2495818;-36.785;84.42;2406.941
2495819;-36.785;90.015;2407.404
2495820;-36.785;89.083;2407.404
2495821;-36.785;88.15;2407.404
2495822;-36.785;87.218;2407.404
2495823;-36.785;86.285;2407.404
2495824;-36.785;85.353;2407.404
2495825;-36.785;84.42;2407.404
2495826;-36.785;83.487;2407.404
2495827;-36.785;82.555;2407.404
2495828;-36.785;81.622;2407.404
2495829;-36.785;80.69;2407.404
2495830;-36.785;79.757;2407.404
2495831;-36.785;78.825;2407.404
2495832;-36.785;84.42;2407.867
2495833;-36.785;90.015;2408.33
2495834;-36.785;89.083;2408.33
2495835;-36.785;88.15;2408.33
2495836;-36.785;87.218;2408.33
2495837;-36.785;86.285;2408.33
2495838;-36.785;85.353;2408.33
2495839;-36.785;84.42;2408.33
2495840;-36.785;83.487;2408.33
2495841;-36.785;82.555;2408.33
2495842;-36.785;81.622;2408.33
2495843;-36.785;80.69;2408.33
2495844;-36.785;79.757;2408.33
2495845;-36.785;78.825;2408.33
2495976;-6.716;90.793;2400.459
2516710;-80.765;7.214;2597.31
2496318;-45.906;35.601;2400.459
2516726;-57.741;-1.046;2597.31
2516728;-42.805;41.236;2589.928
2522786;-36.473;-8.649;2474.196
2496830;-36.785;36.389;2400.459
2522788;-36.473;-8.649;2483.383
2496988;-108.488;12.496;2400.459
2522790;-36.473;-8.649;2492.569
2497531;-94.461;4.441;2400.459
2498222;-27.254;65.186;2400.459
2498224;-28.37;65.038;2403.74
2498347;-78.739;36.659;2400.459
2499115;-19.298;20.764;2400.459
2499194;-19.298;28.605;2400.459
2499204;-19.298;36.446;2400.459
2522812;-36.473;-8.649;2446.637
2522816;-80.929;12.168;2588.123
2502553;292.205;71.151;1167.413
2502673;19.957;100.899;2400.459
2502780;-45.227;110.738;2400.459
2502872;-109.785;76.723;2400.459
2502992;-48.678;58.001;2400.459
2503058;-42.773;43.106;2400.459
2503125;-42.773;76.899;2400.459
406075;0.0;0.0;-500.05
2503392;-45.557;61.889;2400.459
2503393;-45.557;61.889;2400.492
2503436;-0.424;93.122;2400.459
13073;0.0;0.0;-164.042
13077;0.0;0.0;-164.042
2503519;-18.76;91.105;2400.459
2503594;-37.097;77.99;2400.459
2503642;-34.128;64.874;2400.459
2503713;-31.158;61.249;2400.459
2503769;-36.473;57.624;2400.459
406633;0.0;0.0;-500.05
406658;0.0;0.0;-500.05
2503848;-41.789;50.143;2400.459
2503905;-44.003;42.663;2400.459
2503958;-46.217;35.65;2400.459
2504018;-49.736;28.638;2400.459
2504089;-53.255;32.493;2400.459
2504240;-53.255;36.659;2400.459
2504368;-71.972;36.971;2400.459
2504582;-90.689;39.48;2400.459
2504707;-73.006;41.989;2400.459
2504919;-55.286;49.703;2400.459
2504925;-52.83;63.916;2400.459
2504931;-51.488;70.817;2400.459
2504936;-53.05;69.911;2400.459
2504941;-54.919;69.119;2400.459
2504947;-58.308;76.005;2400.459
